"committer.date","committer.name","oid","changedFiles","deletions","commitUrl","message","issue#"
"2020-11-17","SAEONData","a29b10dafc1cc9dd647683867861d6bf4b1e4062","16","200","https://github.com/SAEONData/catalogue/commit/a29b10dafc1cc9dd647683867861d6bf4b1e4062","Update from https://github.com/SAEON/catalogue/commit/661cbedc0b6c04434fe85af728c7b870e02243c0",""
"2020-11-17","SAEONData","3b26aea5504b5c0f6322dc62e9295a98c13a166d","20","532","https://github.com/SAEONData/catalogue/commit/3b26aea5504b5c0f6322dc62e9295a98c13a166d","Update from https://github.com/SAEON/catalogue/commit/15711bc91ca77a49cead5283e3946b6d7c11b0c4",""
"2020-11-16","SAEONData","4b6a1f3e21e7a63f22f42975a3c96940a17d532c","15","157","https://github.com/SAEONData/catalogue/commit/4b6a1f3e21e7a63f22f42975a3c96940a17d532c","Update from https://github.com/SAEON/catalogue/commit/87cd485b7f38ae43a017eaee10bbc56595755f35",""
"2020-11-13","SAEONData","310dfb69f1bb6bf76f2324b880f135908a3fdd5b","1","1","https://github.com/SAEONData/catalogue/commit/310dfb69f1bb6bf76f2324b880f135908a3fdd5b","Update from https://github.com/SAEON/catalogue/commit/0bf04a9c044d1769c59bcd67f1060cefe0b53904",""
"2020-11-12","SAEONData","bd000d191400061fd4ee95e04215f071ddf663c2","2","88","https://github.com/SAEONData/catalogue/commit/bd000d191400061fd4ee95e04215f071ddf663c2","Update from https://github.com/SAEON/catalogue/commit/94bdad85cf825c44cdb2ff59588ed4aa900e4942",""
"2020-11-12","SAEONData","881e5eb89b6f28c85ca4e1ef658a3202540f059b","5","97","https://github.com/SAEONData/catalogue/commit/881e5eb89b6f28c85ca4e1ef658a3202540f059b","Update from https://github.com/SAEON/catalogue/commit/a43fa32e5082b7b5cbe829a20c05dca1d28f0182",""
"2020-11-12","SAEONData","05cda05dbdf5142953c17ec33210c3ca65d46483","9","43","https://github.com/SAEONData/catalogue/commit/05cda05dbdf5142953c17ec33210c3ca65d46483","Update from https://github.com/SAEON/catalogue/commit/019d006cb3c399bd8165fe525f5c21f78951f88c",""
"2020-11-12","SAEONData","c892d143f1c4293ec890155f3a1e632a7cef85f5","15","24","https://github.com/SAEONData/catalogue/commit/c892d143f1c4293ec890155f3a1e632a7cef85f5","Update from https://github.com/SAEON/catalogue/commit/eaacbb6f901e50b1af5ed00638f628c2b25ea008",""
"2020-11-11","SAEONData","aeeeaaddcbde35468d109f591765331c0b796d20","19","18","https://github.com/SAEONData/catalogue/commit/aeeeaaddcbde35468d109f591765331c0b796d20","Update from https://github.com/SAEON/catalogue/commit/da8e1255bfb31ff26e94cd4481bbf67cee40bf18",""
"2020-11-10","SAEONData","76a2ddffa230444054e7ec6f7fb8649fcc76ab39","8","35","https://github.com/SAEONData/catalogue/commit/76a2ddffa230444054e7ec6f7fb8649fcc76ab39","Update from https://github.com/SAEON/catalogue/commit/d7929e79a4b025213b95821ca27ac9991624c0bd",""
"2020-11-10","SAEONData","1e020778a764bdd4e9a0324ebbf0857b9a4e08da","18","123","https://github.com/SAEONData/catalogue/commit/1e020778a764bdd4e9a0324ebbf0857b9a4e08da","Update from https://github.com/SAEON/catalogue/commit/d6a3bc310194ca638da00ce07c25ea53de5e2f2a",""
"2020-11-10","SAEONData","a0accaa3d9a6d0d193a51e72e32328c57610b97d","12","105","https://github.com/SAEONData/catalogue/commit/a0accaa3d9a6d0d193a51e72e32328c57610b97d","Update from https://github.com/SAEON/catalogue/commit/31af4d1706f0c78968ac65685390429672c17f9d",""
"2020-11-09","SAEONData","0cd46fb83fffc0a14829839ca5e27c4ab9507f22","5","1","https://github.com/SAEONData/catalogue/commit/0cd46fb83fffc0a14829839ca5e27c4ab9507f22","Update from https://github.com/SAEON/catalogue/commit/8c6f8b2f45b85133daee7cecf37e1f09cd57be32",""
"2020-11-09","SAEONData","7751cfae695066a924410f3599f3fa392ab01b43","37","134","https://github.com/SAEONData/catalogue/commit/7751cfae695066a924410f3599f3fa392ab01b43","Update from https://github.com/SAEON/catalogue/commit/9db49245cd7114431a7ada32cb0df4de42401fd1",""
"2020-11-06","SAEONData","c29e23b964d4af3627e79bc26069008fa9edb75f","15","75","https://github.com/SAEONData/catalogue/commit/c29e23b964d4af3627e79bc26069008fa9edb75f","Update from https://github.com/SAEON/catalogue/commit/8c7e5acfc778ee2a17cd83c56e0cf5dac1936516",""
"2020-11-06","SAEONData","6d878b34ba970453b5e54d03e867a76bf0e1030f","8","9","https://github.com/SAEONData/catalogue/commit/6d878b34ba970453b5e54d03e867a76bf0e1030f","Update from https://github.com/SAEON/catalogue/commit/a2ec6a7f51f0b46dff64a11dc037d705a4a90b83",""
"2020-11-05","SAEONData","c0e152b831e51f7cc635ebb2ac5ffb1ac95c7c1d","3","14","https://github.com/SAEONData/catalogue/commit/c0e152b831e51f7cc635ebb2ac5ffb1ac95c7c1d","Update from https://github.com/SAEON/catalogue/commit/caa95410d40e2ba6beba56b16ddf0dfaf73decf0",""
"2020-11-05","SAEONData","f4d471b9ca2e8a766580ba81191af1870161c1c1","7","43","https://github.com/SAEONData/catalogue/commit/f4d471b9ca2e8a766580ba81191af1870161c1c1","Update from https://github.com/SAEON/catalogue/commit/66df79b92e925ece705693e49ea0915deb1aa277",""
"2020-11-05","SAEONData","5138413b20d5ccbb2e4fed8c1e58c70610ad8b89","11","78","https://github.com/SAEONData/catalogue/commit/5138413b20d5ccbb2e4fed8c1e58c70610ad8b89","Update from https://github.com/SAEON/catalogue/commit/86efefadacbab48b3584f5b01b4aadb8f3e8a1a3",""
"2020-11-05","SAEONData","a56dcc52559f096d5fc3873e69ab4a4c51e8a99b","12","58","https://github.com/SAEONData/catalogue/commit/a56dcc52559f096d5fc3873e69ab4a4c51e8a99b","Update from https://github.com/SAEON/catalogue/commit/0f677cde47978a78cfde8a262b4dc4794f37a404",""
"2020-11-05","GitHub","31bf0718ead95ae9d7910cc29f8f9c1555e43910","1","58","https://github.com/SAEONData/catalogue/commit/31bf0718ead95ae9d7910cc29f8f9c1555e43910","Delete stable.yml",""
"2020-11-05","GitHub","7a92651f0ecbacba8b23bc24ab044b2e56ab20f6","1","56","https://github.com/SAEONData/catalogue/commit/7a92651f0ecbacba8b23bc24ab044b2e56ab20f6","Delete next.yml",""
"2020-11-05","SAEONData","b5eebfc36f7b25177eeda68c06a601c8b5bfe886","21","995","https://github.com/SAEONData/catalogue/commit/b5eebfc36f7b25177eeda68c06a601c8b5bfe886","Update from https://github.com/SAEON/catalogue/commit/d2708f5a18ded81b28ac4d3c29cd7a462c88d431",""
"2020-11-04","SAEONData","25c61c6b58638da9fc5b62ee585ee10bdf6ae440","20","95","https://github.com/SAEONData/catalogue/commit/25c61c6b58638da9fc5b62ee585ee10bdf6ae440","Update from https://github.com/SAEON/catalogue/commit/ef10e43aebe1379d934a1409c334515e2706ed56",""
"2020-11-03","SAEONData","a6f15186a75939b8ded7812bb26905b3381abe94","9","123","https://github.com/SAEONData/catalogue/commit/a6f15186a75939b8ded7812bb26905b3381abe94","Update from https://github.com/SAEON/catalogue/commit/d87b80234870f0628582f2e6ca5eaf94180d6c43",""
"2020-11-03","SAEONData","492114ed6e3de9b032bb07e8e7866cc183ee22ec","4","15","https://github.com/SAEONData/catalogue/commit/492114ed6e3de9b032bb07e8e7866cc183ee22ec","Update from https://github.com/SAEON/catalogue/commit/7c064e615e644be61ffbdc7696c22990e52f1caf",""
"2020-11-03","SAEONData","80875304e479968a160e04e32a77004a6b79a07a","29","322","https://github.com/SAEONData/catalogue/commit/80875304e479968a160e04e32a77004a6b79a07a","Update from https://github.com/SAEON/catalogue/commit/8b0264e28e9ad7d9c1562642aed898c1e68af8f8",""
"2020-11-02","SAEONData","1d69e782c92f6627eac7a12e3399b1ca8f4ad562","5","8","https://github.com/SAEONData/catalogue/commit/1d69e782c92f6627eac7a12e3399b1ca8f4ad562","Update from https://github.com/SAEON/catalogue/commit/a8885956edf122be6510255bd2c2cf86a451c0da",""
"2020-11-02","SAEONData","6ad785df0634cda5d94d89bd178341c91f0c92cd","1","0","https://github.com/SAEONData/catalogue/commit/6ad785df0634cda5d94d89bd178341c91f0c92cd","Update from https://github.com/SAEON/catalogue/commit/645bd8ef6c2e7c66fd042b53aa7eff8eda5456d7",""
"2020-11-02","SAEONData","b7b686b85c5aa3dcac8d7f0a3d898e978477217e","9","14","https://github.com/SAEONData/catalogue/commit/b7b686b85c5aa3dcac8d7f0a3d898e978477217e","Update from https://github.com/SAEON/catalogue/commit/c7f696b6630801d621fa9da0a8250f702caaa71b",""
"2020-11-02","SAEONData","cf1070d8c423b118e215a578b22060c5ff3b9045","21","133","https://github.com/SAEONData/catalogue/commit/cf1070d8c423b118e215a578b22060c5ff3b9045","Update from https://github.com/SAEON/catalogue/commit/e8300d6afb920a13d699ee87ce7f47597356d3fb",""
"2020-11-02","SAEONData","122cb7b0a070776d8ec69cf85cf05a4fe97d3eb7","8","203","https://github.com/SAEONData/catalogue/commit/122cb7b0a070776d8ec69cf85cf05a4fe97d3eb7","Update from https://github.com/SAEON/catalogue/commit/6af7987b0c03ed84a650c530e5657b8257595c4a",""
"2020-11-02","SAEONData","6398f4af7268ce2929a817c09b9a64c942d9b2ab","4","4","https://github.com/SAEONData/catalogue/commit/6398f4af7268ce2929a817c09b9a64c942d9b2ab","Update from https://github.com/SAEON/catalogue/commit/54c2da94309a0d43080e6fe623d38f4caac9c3f7",""
"2020-11-02","SAEONData","d4b15d4f8dcfff435544ac3648137b91864d6cd4","1","1","https://github.com/SAEONData/catalogue/commit/d4b15d4f8dcfff435544ac3648137b91864d6cd4","Update from https://github.com/SAEON/catalogue/commit/098bc970ccfbe667cc3bc3cff57d455e425873fa",""
"2020-11-02","SAEONData","714420cd7adf19cbeb24e9c7d833ba4aae9ee63a","49","341","https://github.com/SAEONData/catalogue/commit/714420cd7adf19cbeb24e9c7d833ba4aae9ee63a","Update from https://github.com/SAEON/catalogue/commit/00a7c71b8dd42023788b95fb21adceb93f582035",""
"2020-10-30","SAEONData","2b8d4b5efa14afd4a4de1277cf908203036f19f5","5","28","https://github.com/SAEONData/catalogue/commit/2b8d4b5efa14afd4a4de1277cf908203036f19f5","Update from https://github.com/SAEON/catalogue/commit/e1223f4d0d605e29642f48eef499f2f158dd8145",""
"2020-10-30","SAEONData","a0bf083fd79c2c83187898631334686772d8b47d","2","113","https://github.com/SAEONData/catalogue/commit/a0bf083fd79c2c83187898631334686772d8b47d","Update from https://github.com/SAEON/catalogue/commit/ae46e086cd940c5afbc58505a9d0dde7e6dd7b7b",""
"2020-10-30","SAEONData","3cf88f64edc595e27e8fee4807df6a1cee216159","1","103","https://github.com/SAEONData/catalogue/commit/3cf88f64edc595e27e8fee4807df6a1cee216159","Update from https://github.com/SAEON/catalogue/commit/3b631313c1836f53d75257d733ef70de84c34d90",""
"2020-10-30","SAEONData","9b286e1d2b4f0c78ff4f48080311db69998338af","1","2","https://github.com/SAEONData/catalogue/commit/9b286e1d2b4f0c78ff4f48080311db69998338af","Update from https://github.com/SAEON/catalogue/commit/e94b425c2ceb0ec8037d51da6259a5136989b2d8",""
"2020-10-30","SAEONData","4a2b629bdc4aff512e4128f8f9225e145418c24a","2","105","https://github.com/SAEONData/catalogue/commit/4a2b629bdc4aff512e4128f8f9225e145418c24a","Update from https://github.com/SAEON/catalogue/commit/518ae774ac6875e62212f74b33a44d278eb6534c",""
"2020-10-30","SAEONData","91f95bd5d05825a64bc94e7154a99e0344d10017","6","6","https://github.com/SAEONData/catalogue/commit/91f95bd5d05825a64bc94e7154a99e0344d10017","Update from https://github.com/SAEON/catalogue/commit/e0e6e9796d117adacb2186b72e4b34b4d3afb924",""
"2020-10-30","SAEONData","828055ea8186567c503515321cfa5177f1c442c5","8","15","https://github.com/SAEONData/catalogue/commit/828055ea8186567c503515321cfa5177f1c442c5","Update from https://github.com/SAEON/catalogue/commit/0bc623b95f2136dad3fa83c92e259076e3e0f008",""
"2020-10-30","SAEONData","1bd78e549bb0d61413d1f9a4419099f20f11ce19","3","3","https://github.com/SAEONData/catalogue/commit/1bd78e549bb0d61413d1f9a4419099f20f11ce19","Update from https://github.com/SAEON/catalogue/commit/b724db5b60b4e1cbff31e19e63b365c0d96552d3",""
